"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/6/2020","Grace (Ind.) *","A","4","6","L","BC"
"2","3/7/2020","Grace (Ind.) *","N","7","1","W","BC"
"3","3/7/2020","Grace (Ind.) *","A","6","0","W","BC"
"4","3/13/2020","Spring Arbor (Mich.) *","H","3:00 PM",NA,"","BC"
"5","3/14/2020","Spring Arbor (Mich.) *","H","1:00 PM",NA,"","BC"
"6","3/14/2020","Spring Arbor (Mich.) *","H","1:00 PM",NA,"","BC"
"7","3/20/2020","Mount Vernon Nazarene (Ohio) *","H","3:00 PM",NA,"","BC"
"8","3/21/2020","Mount Vernon Nazarene (Ohio) *","H","12:00 PM",NA,"","BC"
"9","3/21/2020","Mount Vernon Nazarene (Ohio) *","H","12:00 PM",NA,"","BC"
"10","3/27/2020","Huntington (Ind.) *","A","4:00 PM",NA,"","BC"
"11","3/28/2020","Huntington (Ind.) *","A","2:00 PM",NA,"","BC"
"12","3/28/2020","Huntington (Ind.) *","A","2:00 PM",NA,"","BC"
"13","4/3/2020","Marian (Ind.) *","H","3:00 PM",NA,"","BC"
"14","4/4/2020","Marian (Ind.) *","H","1:00 PM",NA,"","BC"
"15","4/4/2020","Marian (Ind.) *","H","1:00 PM",NA,"","BC"
"16","4/7/2020","Taylor (Ind.) *","A","4:00 PM",NA,"","BC"
"17","4/10/2020","Indiana Wesleyan *","A","4:00 PM",NA,"","BC"
"18","4/11/2020","Indiana Wesleyan *","A","1:00 PM",NA,"","BC"
"19","4/11/2020","Indiana Wesleyan *","A","1:00 PM",NA,"","BC"
"20","4/14/2020","Taylor (Ind.) *","A","1:00 PM",NA,"","BC"
"21","4/14/2020","Taylor (Ind.) *","A","1:00 PM",NA,"","BC"
"22","4/17/2020","St. Francis (Ind.) *","H","2:00 PM",NA,"","BC"
"23","4/18/2020","St. Francis (Ind.) *","H","1:00 PM",NA,"","BC"
"24","4/18/2020","St. Francis (Ind.) *","H","3:00 PM",NA,"","BC"
"25","4/24/2020","Goshen (Ind.) *","A","3:00 PM",NA,"","BC"
"26","4/25/2020","Goshen (Ind.) *","A","1:00 PM",NA,"","BC"
"27","4/25/2020","Goshen (Ind.) *","A","1:00 PM",NA,"","BC"
