"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/6/2020","Bethel (Ind.) *","H","6","4","W","GRC"
"2","3/7/2020","Bethel (Ind.) *","N","1","7","L","GRC"
"3","3/7/2020","Bethel (Ind.) *","H","0","6","L","GRC"
"4","3/13/2020","Mount Vernon Nazarene (Ohio) *","A","4:00 PM",NA,"","GRC"
"5","3/14/2020","Mount Vernon Nazarene (Ohio) *","A","1:00 PM",NA,"","GRC"
"6","3/14/2020","Mount Vernon Nazarene (Ohio) *","A","4:00 PM",NA,"","GRC"
"7","3/20/2020","Goshen (Ind.) *","H","3:00 PM",NA,"","GRC"
"8","3/21/2020","Goshen (Ind.) *","H","1:00 PM",NA,"","GRC"
"9","3/21/2020","Goshen (Ind.) *","H","3:30 PM",NA,"","GRC"
"10","3/27/2020","St. Francis (Ind.) *","A","4:00 PM",NA,"","GRC"
"11","3/28/2020","St. Francis (Ind.) *","A","1:00 PM",NA,"","GRC"
"12","3/28/2020","St. Francis (Ind.) *","A","4:00 PM",NA,"","GRC"
"13","4/3/2020","Indiana Wesleyan *","H","4:00 PM",NA,"","GRC"
"14","4/4/2020","Indiana Wesleyan *","H","1:00 PM",NA,"","GRC"
"15","4/4/2020","Indiana Wesleyan *","H","4:00 PM",NA,"","GRC"
"16","4/7/2020","Huntington (Ind.) *","A","7:00 PM",NA,"","GRC"
"17","4/10/2020","Spring Arbor (Mich.) *","H","4:00 PM",NA,"","GRC"
"18","4/11/2020","Spring Arbor (Mich.) *","H","1:00 PM",NA,"","GRC"
"19","4/11/2020","Spring Arbor (Mich.) *","H","4:00 PM",NA,"","GRC"
"20","4/14/2020","Huntington (Ind.) *","A","4:00 PM",NA,"","GRC"
"21","4/14/2020","Huntington (Ind.) *","A","7:00 PM",NA,"","GRC"
"22","4/17/2020","Taylor (Ind.) *","A","5:00 PM",NA,"","GRC"
"23","4/18/2020","Taylor (Ind.) *","A","1:00 PM",NA,"","GRC"
"24","4/18/2020","Taylor (Ind.) *","A","4:00 PM",NA,"","GRC"
"25","4/24/2020","Marian (Ind.) *","A","4:00 PM",NA,"","GRC"
"26","4/25/2020","Marian (Ind.) *","A","1:00 PM",NA,"","GRC"
"27","4/25/2020","Marian (Ind.) *","A","4:00 PM",NA,"","GRC"
