"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/7/2020","Marian (Ind.) *","H","2","0","W","HU"
"2","3/7/2020","Marian (Ind.) *","H","4","2","W","HU"
"3","3/9/2020","Marian (Ind.) *","N","14","13","W","HU"
"4","3/13/2020","Goshen (Ind.) *","A","3:00 PM",NA,"","HU"
"5","3/14/2020","Goshen (Ind.) *","A","1:00 PM",NA,"","HU"
"6","3/14/2020","Goshen (Ind.) *","A","3:30 PM",NA,"","HU"
"7","3/20/2020","St. Francis (Ind.) *","A","2:00 PM",NA,"","HU"
"8","3/21/2020","St. Francis (Ind.) *","A","1:00 PM",NA,"","HU"
"9","3/21/2020","St. Francis (Ind.) *","A","3:00 PM",NA,"","HU"
"10","3/27/2020","Bethel (Ind.) *","H","4:00 PM",NA,"","HU"
"11","3/28/2020","Bethel (Ind.) *","H","2:00 PM",NA,"","HU"
"12","3/28/2020","Bethel (Ind.) *","H","2:00 PM",NA,"","HU"
"13","4/3/2020","Spring Arbor (Mich.) *","H","5:00 PM",NA,"","HU"
"14","4/4/2020","Spring Arbor (Mich.) *","H","1:00 PM",NA,"","HU"
"15","4/4/2020","Spring Arbor (Mich.) *","H","4:00 PM",NA,"","HU"
"16","4/7/2020","Grace (Ind.) *","H","7:00 PM",NA,"","HU"
"17","4/10/2020","Taylor (Ind.) *","A","5:00 PM",NA,"","HU"
"18","4/11/2020","Taylor (Ind.) *","A","1:00 PM",NA,"","HU"
"19","4/11/2020","Taylor (Ind.) *","A","1:00 PM",NA,"","HU"
"20","4/14/2020","Grace (Ind.) *","H","4:00 PM",NA,"","HU"
"21","4/14/2020","Grace (Ind.) *","H","7:00 PM",NA,"","HU"
"22","4/17/2020","Mount Vernon Nazarene (Ohio) *","A","4:00 PM",NA,"","HU"
"23","4/18/2020","Mount Vernon Nazarene (Ohio) *","A","1:00 PM",NA,"","HU"
"24","4/18/2020","Mount Vernon Nazarene (Ohio) *","A","4:00 PM",NA,"","HU"
"25","4/24/2020","Indiana Wesleyan *","H","4:30 PM",NA,"","HU"
"26","4/25/2020","Indiana Wesleyan *","H","4:30 PM",NA,"","HU"
"27","4/25/2020","Indiana Wesleyan *","H","4:30 PM",NA,"","HU"
