"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/7/2020","St. Francis (Ind.) *","A","10","1","W","INWU"
"2","3/7/2020","St. Francis (Ind.) *","A","14","9","W","INWU"
"3","3/9/2020","St. Francis (Ind.) *","A","14","11","W","INWU"
"4","3/13/2020","Taylor (Ind.) *","A","0","0","","INWU"
"5","3/14/2020","Taylor (Ind.) *","A","1:00 PM",NA,"","INWU"
"6","3/14/2020","Taylor (Ind.) *","A","1:00 PM",NA,"","INWU"
"7","3/20/2020","Spring Arbor (Mich.) *","H","4:00 PM",NA,"","INWU"
"8","3/21/2020","Spring Arbor (Mich.) *","H","1:00 PM",NA,"","INWU"
"9","3/21/2020","Spring Arbor (Mich.) *","H","1:00 PM",NA,"","INWU"
"10","3/27/2020","Goshen (Ind.) *","H","4:00 PM",NA,"","INWU"
"11","3/28/2020","Goshen (Ind.) *","H","1:00 PM",NA,"","INWU"
"12","3/28/2020","Goshen (Ind.) *","H","1:00 PM",NA,"","INWU"
"13","4/3/2020","Grace (Ind.) *","A","4:00 PM",NA,"","INWU"
"14","4/4/2020","Grace (Ind.) *","A","1:00 PM",NA,"","INWU"
"15","4/4/2020","Grace (Ind.) *","A","4:00 PM",NA,"","INWU"
"16","4/7/2020","Mount Vernon Nazarene (Ohio) *","A","4:00 PM",NA,"","INWU"
"17","4/10/2020","Bethel (Ind.) *","H","4:00 PM",NA,"","INWU"
"18","4/11/2020","Bethel (Ind.) *","H","1:00 PM",NA,"","INWU"
"19","4/11/2020","Bethel (Ind.) *","H","1:00 PM",NA,"","INWU"
"20","4/14/2020","Mount Vernon Nazarene (Ohio) *","A","2:00 PM",NA,"","INWU"
"21","4/14/2020","Mount Vernon Nazarene (Ohio) *","A","2:00 PM",NA,"","INWU"
"22","4/17/2020","Marian (Ind.) *","H","4:00 PM",NA,"","INWU"
"23","4/18/2020","Marian (Ind.) *","H","1:00 PM",NA,"","INWU"
"24","4/18/2020","Marian (Ind.) *","H","3:30 PM",NA,"","INWU"
"25","4/24/2020","Huntington (Ind.) *","A","4:30 PM",NA,"","INWU"
"26","4/25/2020","Huntington (Ind.) *","A","4:30 PM",NA,"","INWU"
"27","4/25/2020","Huntington (Ind.) *","A","4:30 PM",NA,"","INWU"
