"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/7/2020","Huntington (Ind.) *","A","0","2","L","MAR"
"2","3/7/2020","Huntington (Ind.) *","A","2","4","L","MAR"
"3","3/9/2020","Huntington (Ind.) *","N","13","14","L","MAR"
"4","3/13/2020","St. Francis (Ind.) *","H","2:00 PM",NA,"","MAR"
"5","3/14/2020","St. Francis (Ind.) *","H","1:00 PM",NA,"","MAR"
"6","3/14/2020","St. Francis (Ind.) *","H","3:00 PM",NA,"","MAR"
"7","3/20/2020","Taylor (Ind.) *","H","4:00 PM",NA,"","MAR"
"8","3/21/2020","Taylor (Ind.) *","H","1:00 PM",NA,"","MAR"
"9","3/21/2020","Taylor (Ind.) *","H","3:00 PM",NA,"","MAR"
"10","3/27/2020","Spring Arbor (Mich.) *","A","4:00 PM",NA,"","MAR"
"11","3/28/2020","Spring Arbor (Mich.) *","A","1:00 PM",NA,"","MAR"
"12","3/28/2020","Spring Arbor (Mich.) *","A","3:00 PM",NA,"","MAR"
"13","4/3/2020","Bethel (Ind.) *","A","3:00 PM",NA,"","MAR"
"14","4/4/2020","Bethel (Ind.) *","A","1:00 PM",NA,"","MAR"
"15","4/4/2020","Bethel (Ind.) *","A","1:00 PM",NA,"","MAR"
"16","4/7/2020","Goshen (Ind.) *","A","3:00 PM",NA,"","MAR"
"17","4/10/2020","Mount Vernon Nazarene (Ohio) *","H","4:00 PM",NA,"","MAR"
"18","4/11/2020","Mount Vernon Nazarene (Ohio) *","H","1:00 PM",NA,"","MAR"
"19","4/11/2020","Mount Vernon Nazarene (Ohio) *","H","4:00 PM",NA,"","MAR"
"20","4/14/2020","Goshen (Ind.) *","A","1:00 PM",NA,"","MAR"
"21","4/14/2020","Goshen (Ind.) *","A","3:30 PM",NA,"","MAR"
"22","4/17/2020","Indiana Wesleyan *","A","4:00 PM",NA,"","MAR"
"23","4/18/2020","Indiana Wesleyan *","A","1:00 PM",NA,"","MAR"
"24","4/18/2020","Indiana Wesleyan *","A","3:30 PM",NA,"","MAR"
"25","4/24/2020","Grace (Ind.) *","H","4:00 PM",NA,"","MAR"
"26","4/25/2020","Grace (Ind.) *","H","1:00 PM",NA,"","MAR"
"27","4/25/2020","Grace (Ind.) *","H","4:00 PM",NA,"","MAR"
