"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","2/28/2020","Spring Arbor (Mich.) *","A","10","6","W","MVNU"
"2","2/28/2020","Spring Arbor (Mich.) *","A","12","6","W","MVNU"
"3","2/29/2020","Spring Arbor (Mich.) *","A","8","11","L","MVNU"
"4","3/13/2020","Grace (Ind.) *","H","4:00 PM",NA,"","MVNU"
"5","3/14/2020","Grace (Ind.) *","H","1:00 PM",NA,"","MVNU"
"6","3/14/2020","Grace (Ind.) *","H","4:00 PM",NA,"","MVNU"
"7","3/20/2020","Bethel (Ind.) *","A","3:00 PM",NA,"","MVNU"
"8","3/21/2020","Bethel (Ind.) *","A","12:00 PM",NA,"","MVNU"
"9","3/21/2020","Bethel (Ind.) *","A","12:00 PM",NA,"","MVNU"
"10","3/27/2020","Taylor (Ind.) *","H","4:00 PM",NA,"","MVNU"
"11","3/28/2020","Taylor (Ind.) *","H","1:00 PM",NA,"","MVNU"
"12","3/28/2020","Taylor (Ind.) *","H","4:00 PM",NA,"","MVNU"
"13","4/3/2020","Goshen (Ind.) *","A","4:00 PM",NA,"","MVNU"
"14","4/4/2020","Goshen (Ind.) *","A","1:00 PM",NA,"","MVNU"
"15","4/4/2020","Goshen (Ind.) *","A","4:00 PM",NA,"","MVNU"
"16","4/7/2020","Indiana Wesleyan *","H","4:00 PM",NA,"","MVNU"
"17","4/10/2020","Marian (Ind.) *","A","4:00 PM",NA,"","MVNU"
"18","4/11/2020","Marian (Ind.) *","A","1:00 PM",NA,"","MVNU"
"19","4/11/2020","Marian (Ind.) *","A","4:00 PM",NA,"","MVNU"
"20","4/14/2020","Indiana Wesleyan *","H","2:00 PM",NA,"","MVNU"
"21","4/14/2020","Indiana Wesleyan *","H","2:00 PM",NA,"","MVNU"
"22","4/17/2020","Huntington (Ind.) *","H","4:00 PM",NA,"","MVNU"
"23","4/18/2020","Huntington (Ind.) *","H","1:00 PM",NA,"","MVNU"
"24","4/18/2020","Huntington (Ind.) *","H","4:00 PM",NA,"","MVNU"
"25","4/24/2020","St. Francis (Ind.) *","H","4:00 PM",NA,"","MVNU"
"26","4/25/2020","St. Francis (Ind.) *","H","1:00 PM",NA,"","MVNU"
"27","4/25/2020","St. Francis (Ind.) *","H","3:00 PM",NA,"","MVNU"
