"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","2/28/2020","Mount Vernon Nazarene (Ohio) *","H","6","10","L","SAU"
"2","2/28/2020","Mount Vernon Nazarene (Ohio) *","H","6","12","L","SAU"
"3","2/29/2020","Mount Vernon Nazarene (Ohio) *","H","11","8","W","SAU"
"4","3/13/2020","Bethel (Ind.) *","A","3:00 PM",NA,"","SAU"
"5","3/14/2020","Bethel (Ind.) *","A","1:00 PM",NA,"","SAU"
"6","3/14/2020","Bethel (Ind.) *","A","1:00 PM",NA,"","SAU"
"7","3/20/2020","Indiana Wesleyan *","A","4:00 PM",NA,"","SAU"
"8","3/21/2020","Indiana Wesleyan *","A","1:00 PM",NA,"","SAU"
"9","3/21/2020","Indiana Wesleyan *","A","1:00 PM",NA,"","SAU"
"10","3/27/2020","Marian (Ind.) *","H","4:00 PM",NA,"","SAU"
"11","3/28/2020","Marian (Ind.) *","H","1:00 PM",NA,"","SAU"
"12","3/28/2020","Marian (Ind.) *","H","3:00 PM",NA,"","SAU"
"13","4/3/2020","Huntington (Ind.) *","A","5:00 PM",NA,"","SAU"
"14","4/4/2020","Huntington (Ind.) *","A","1:00 PM",NA,"","SAU"
"15","4/4/2020","Huntington (Ind.) *","A","4:00 PM",NA,"","SAU"
"16","4/7/2020","St. Francis (Ind.) *","H","3:00 PM",NA,"","SAU"
"17","4/10/2020","Grace (Ind.) *","A","4:00 PM",NA,"","SAU"
"18","4/11/2020","Grace (Ind.) *","A","1:00 PM",NA,"","SAU"
"19","4/11/2020","Grace (Ind.) *","A","4:00 PM",NA,"","SAU"
"20","4/14/2020","St. Francis (Ind.) *","H","2:00 PM",NA,"","SAU"
"21","4/14/2020","St. Francis (Ind.) *","H","4:00 PM",NA,"","SAU"
"22","4/17/2020","Goshen (Ind.) *","H","3:00 PM",NA,"","SAU"
"23","4/18/2020","Goshen (Ind.) *","H","1:00 PM",NA,"","SAU"
"24","4/18/2020","Goshen (Ind.) *","H","3:30 PM",NA,"","SAU"
"25","4/24/2020","Taylor (Ind.) *","H","4:00 PM",NA,"","SAU"
"26","4/25/2020","Taylor (Ind.) *","H","1:00 PM",NA,"","SAU"
"27","4/25/2020","Taylor (Ind.) *","H","1:00 PM",NA,"","SAU"
