"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/7/2020","Indiana Wesleyan *","H","1","10","L","SFIN"
"2","3/7/2020","Indiana Wesleyan *","H","9","14","L","SFIN"
"3","3/9/2020","Indiana Wesleyan *","H","11","14","L","SFIN"
"4","3/13/2020","Marian (Ind.) *","A","2:00 PM",NA,"","SFIN"
"5","3/14/2020","Marian (Ind.) *","A","1:00 PM",NA,"","SFIN"
"6","3/14/2020","Marian (Ind.) *","A","3:00 PM",NA,"","SFIN"
"7","3/20/2020","Huntington (Ind.) *","H","2:00 PM",NA,"","SFIN"
"8","3/21/2020","Huntington (Ind.) *","H","1:00 PM",NA,"","SFIN"
"9","3/21/2020","Huntington (Ind.) *","H","3:00 PM",NA,"","SFIN"
"10","3/27/2020","Grace (Ind.) *","H","4:00 PM",NA,"","SFIN"
"11","3/28/2020","Grace (Ind.) *","H","1:00 PM",NA,"","SFIN"
"12","3/28/2020","Grace (Ind.) *","H","4:00 PM",NA,"","SFIN"
"13","4/3/2020","Taylor (Ind.) *","A","5:00 PM",NA,"","SFIN"
"14","4/4/2020","Taylor (Ind.) *","A","1:00 PM",NA,"","SFIN"
"15","4/4/2020","Taylor (Ind.) *","A","3:00 PM",NA,"","SFIN"
"16","4/7/2020","Spring Arbor (Mich.) *","A","3:00 PM",NA,"","SFIN"
"17","4/10/2020","Goshen (Ind.) *","H","2:00 PM",NA,"","SFIN"
"18","4/11/2020","Goshen (Ind.) *","H","1:00 PM",NA,"","SFIN"
"19","4/11/2020","Roosevelt (Ill.) *","H","1:00 PM",NA,"","SFIN"
"20","4/11/2020","Goshen (Ind.) *","H","3:00 PM",NA,"","SFIN"
"21","4/11/2020","Roosevelt (Ill.) *","H","3:30 PM",NA,"","SFIN"
"22","4/14/2020","Spring Arbor (Mich.) *","A","2:00 PM",NA,"","SFIN"
"23","4/14/2020","Spring Arbor (Mich.) *","A","4:00 PM",NA,"","SFIN"
"24","4/17/2020","Bethel (Ind.) *","A","3:00 PM",NA,"","SFIN"
"25","4/18/2020","Bethel (Ind.) *","A","1:00 PM",NA,"","SFIN"
"26","4/18/2020","Bethel (Ind.) *","A","1:00 PM",NA,"","SFIN"
"27","4/24/2020","Mount Vernon Nazarene (Ohio) *","A","4:00 PM",NA,"","SFIN"
"28","4/25/2020","Mount Vernon Nazarene (Ohio) *","A","1:00 PM",NA,"","SFIN"
"29","4/25/2020","Mount Vernon Nazarene (Ohio) *","A","3:00 PM",NA,"","SFIN"
