"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/5/2020","Goshen (Ind.) *","A","10","3","W","TAYL"
"2","3/7/2020","Goshen (Ind.) *","A","3","4","L","TAYL"
"3","3/7/2020","Goshen (Ind.) *","A","4","7","L","TAYL"
"4","3/13/2020","Indiana Wesleyan *","H","0","0","","TAYL"
"5","3/14/2020","Indiana Wesleyan *","H","1:00 PM",NA,"","TAYL"
"6","3/14/2020","Indiana Wesleyan *","H","1:00 PM",NA,"","TAYL"
"7","3/20/2020","Marian (Ind.) *","A","4:00 PM",NA,"","TAYL"
"8","3/21/2020","Marian (Ind.) *","A","1:00 PM",NA,"","TAYL"
"9","3/21/2020","Marian (Ind.) *","A","3:00 PM",NA,"","TAYL"
"10","3/27/2020","Mount Vernon Nazarene (Ohio) *","A","4:00 PM",NA,"","TAYL"
"11","3/28/2020","Mount Vernon Nazarene (Ohio) *","A","1:00 PM",NA,"","TAYL"
"12","3/28/2020","Mount Vernon Nazarene (Ohio) *","A","4:00 PM",NA,"","TAYL"
"13","4/3/2020","St. Francis (Ind.) *","H","5:00 PM",NA,"","TAYL"
"14","4/4/2020","St. Francis (Ind.) *","H","1:00 PM",NA,"","TAYL"
"15","4/4/2020","St. Francis (Ind.) *","H","3:00 PM",NA,"","TAYL"
"16","4/7/2020","Bethel (Ind.) *","H","4:00 PM",NA,"","TAYL"
"17","4/10/2020","Huntington (Ind.) *","H","5:00 PM",NA,"","TAYL"
"18","4/11/2020","Huntington (Ind.) *","H","1:00 PM",NA,"","TAYL"
"19","4/11/2020","Huntington (Ind.) *","H","1:00 PM",NA,"","TAYL"
"20","4/14/2020","Bethel (Ind.) *","H","1:00 PM",NA,"","TAYL"
"21","4/14/2020","Bethel (Ind.) *","H","1:00 PM",NA,"","TAYL"
"22","4/17/2020","Grace (Ind.) *","H","5:00 PM",NA,"","TAYL"
"23","4/18/2020","Grace (Ind.) *","H","1:00 PM",NA,"","TAYL"
"24","4/18/2020","Grace (Ind.) *","H","4:00 PM",NA,"","TAYL"
"25","4/24/2020","Spring Arbor (Mich.) *","A","4:00 PM",NA,"","TAYL"
"26","4/25/2020","Spring Arbor (Mich.) *","A","1:00 PM",NA,"","TAYL"
"27","4/25/2020","Spring Arbor (Mich.) *","A","1:00 PM",NA,"","TAYL"
