"","Date","Opponent","Location","Score","Decision"
"1","3/8/2019","Grace (Ind.) *","N","6-13","L"
"2","3/9/2019","Grace (Ind.) *","N","2-14","L"
"3","3/9/2019","Grace (Ind.) *","N","1-3","L"
"4","3/18/2019","Goshen (Ind.) *","A","3-0","W"
"5","3/19/2019","Goshen (Ind.) *","A","9-6","W"
"6","3/19/2019","Goshen (Ind.) *","A","10-7","W"
"7","3/23/2019","Huntington (Ind.) *","H","2-3","L"
"8","3/23/2019","Huntington (Ind.) *","H","4-1","W"
"9","3/25/2019","Huntington (Ind.) *","H","3-7","L"
"10","3/28/2019","St. Francis (Ind.) *","H","6-10","L"
"11","4/2/2019","St. Francis (Ind.) *","H","4-0","W"
"12","4/2/2019","St. Francis (Ind.) *","H","5-7","L"
"13","4/5/2019","Marian (Ind.) *","A","5-6","L"
"14","4/6/2019","Marian (Ind.) *","A","1-5","L"
"15","4/6/2019","Marian (Ind.) *","A","1-6","L"
"16","4/9/2019","Taylor (Ind.) *","H","3-5","L"
"17","4/12/2019","Indiana Wesleyan *","A","5-15","L"
"18","4/13/2019","Indiana Wesleyan *","A","2-10","L"
"19","4/13/2019","Indiana Wesleyan *","A","7-10","L"
"20","4/16/2019","Taylor (Ind.) *","H","2-3","L"
"21","4/16/2019","Taylor (Ind.) *","H","5-10","L"
"22","4/22/2019","Spring Arbor (Mich.) *","A","1-10","L"
"23","4/22/2019","Spring Arbor (Mich.) *","A","7-6","W"
"24","4/23/2019","Spring Arbor (Mich.) *","A","5-1","W"
"25","4/26/2019","Mount Vernon Nazarene (Ohio) *","H","11-14","L"
"26","4/26/2019","Mount Vernon Nazarene (Ohio) *","H","3-10","L"
"27","4/27/2019","Mount Vernon Nazarene (Ohio) *","H","2-13","L"
