"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/8/2019","St. Francis (Ind.) *","A","2","10","L","GOC"
"2","3/9/2019","St. Francis (Ind.) *","H","4","2","W","GOC"
"3","3/9/2019","St. Francis (Ind.) *","H","10","8","W","GOC"
"4","3/18/2019","Bethel (Ind.) *","H","0","3","L","GOC"
"5","3/19/2019","Bethel (Ind.) *","H","6","9","L","GOC"
"6","3/19/2019","Bethel (Ind.) *","H","7","10","L","GOC"
"7","3/22/2019","Marian (Ind.) *","A","7","1","W","GOC"
"8","3/23/2019","Marian (Ind.) *","A","1","2","L","GOC"
"9","3/23/2019","Marian (Ind.) *","A","3","5","L","GOC"
"10","3/28/2019","Taylor (Ind.) *","A","3","2","W","GOC"
"11","4/2/2019","Taylor (Ind.) *","H","3","2","W","GOC"
"12","4/2/2019","Taylor (Ind.) *","H","8","7","W","GOC"
"13","4/5/2019","Indiana Wesleyan *","A","2","6","L","GOC"
"14","4/6/2019","Indiana Wesleyan *","A","0","13","L","GOC"
"15","4/6/2019","Indiana Wesleyan *","A","4","5","L","GOC"
"16","4/9/2019","Spring Arbor (Mich.) *","A","5","9","L","GOC"
"17","4/12/2019","Huntington (Ind.) *","H","10","18","L","GOC"
"18","4/13/2019","Huntington (Ind.) *","H","3","2","W","GOC"
"19","4/13/2019","Huntington (Ind.) *","H","4","8","L","GOC"
"20","4/16/2019","Spring Arbor (Mich.) *","A","5","11","L","GOC"
"21","4/16/2019","Spring Arbor (Mich.) *","A","7","5","W","GOC"
"22","4/19/2019","Mount Vernon Nazarene (Ohio) *","H","0","4","L","GOC"
"23","4/22/2019","Mount Vernon Nazarene (Ohio) *","H","6","1","W","GOC"
"24","4/22/2019","Mount Vernon Nazarene (Ohio) *","H","7","6","W","GOC"
"25","4/26/2019","Grace (Ind.) *","A","1","5","L","GOC"
"26","4/26/2019","Grace (Ind.) *","A","12","2","W","GOC"
"27","4/27/2019","Grace (Ind.) *","A","12","2","W","GOC"
