"","Date","Opponent","Location","Team_Score","Opp_Score","Decision"
"1","3/8/2019","Taylor (Ind.) *","A","7","6","W"
"2","3/11/2019","Taylor (Ind.) *","A","2","0","W"
"3","3/11/2019","Taylor (Ind.) *","A","1","5","L"
"4","3/18/2019","Spring Arbor (Mich.) *","H","6","5","W"
"5","3/19/2019","Spring Arbor (Mich.) *","H","8","0","W"
"6","3/19/2019","Spring Arbor (Mich.) *","H","6","4","W"
"7","3/23/2019","Bethel (Ind.) *","A","3","2","W"
"8","3/23/2019","Bethel (Ind.) *","A","1","4","L"
"9","3/25/2019","Bethel (Ind.) *","A","7","3","W"
"10","3/28/2019","Grace (Ind.) *","A","2","12","L"
"11","4/1/2019","Grace (Ind.) *","A","12","2","W"
"12","4/1/2019","Grace (Ind.) *","A","9","10","L"
"13","4/5/2019","Mount Vernon Nazarene (Ohio) *","H","4","3","W"
"14","4/6/2019","Mount Vernon Nazarene (Ohio) *","H","7","2","W"
"15","4/6/2019","Mount Vernon Nazarene (Ohio) *","H","2","1","W"
"16","4/9/2019","Marian (Ind.) *","H","3","2(10)","W"
"17","4/12/2019","Goshen (Ind.) *","A","18","10","W"
"18","4/13/2019","Goshen (Ind.) *","A","2","3","L"
"19","4/13/2019","Goshen (Ind.) *","A","8","4","W"
"20","4/16/2019","Marian (Ind.) *","H","2","8","L"
"21","4/16/2019","Marian (Ind.) *","H","5","0","W"
"22","4/19/2019","St. Francis (Ind.) *","H","11","0","W"
"23","4/19/2019","St. Francis (Ind.) *","H","4","2","W"
"24","4/22/2019","St. Francis (Ind.) *","H","6","5","W"
"25","4/26/2019","Indiana Wesleyan *","A","7","2","W"
"26","4/26/2019","Indiana Wesleyan *","A","4","7","L"
"27","4/29/2019","Indiana Wesleyan *","N","7","5(10)","W"
