"","Date","Opponent","Location","Team_Score","Opp_Score","Decision"
"1","3/16/2019","St. Francis (Ind.) *","H","3","14","L"
"2","3/18/2019","Indiana Wesleyan *","H","3","2","W"
"3","3/19/2019","Indiana Wesleyan *","H","0","9","L"
"4","3/19/2019","Indiana Wesleyan *","H","10","3","W"
"5","3/22/2019","Goshen (Ind.) *","H","1","7","L"
"6","3/23/2019","Goshen (Ind.) *","H","2","1","W"
"7","3/23/2019","Goshen (Ind.) *","H","5","3","W"
"8","3/26/2019","St. Francis (Ind.) *","H","6","4","W"
"9","3/26/2019","St. Francis (Ind.) *","H","12","6","W"
"10","4/2/2019","Mount Vernon Nazarene (Ohio) *","A","6","4","W"
"11","4/5/2019","Bethel (Ind.) *","H","6","5","W"
"12","4/6/2019","Bethel (Ind.) *","H","5","1","W"
"13","4/6/2019","Bethel (Ind.) *","H","6","1","W"
"14","4/9/2019","Huntington (Ind.) *","A","2","3(10)","L"
"15","4/10/2019","Mount Vernon Nazarene (Ohio) *","A","1","2","L"
"16","4/10/2019","Mount Vernon Nazarene (Ohio) *","A","2","12","L"
"17","4/12/2019","Taylor (Ind.) *","A","9","13","L"
"18","4/13/2019","Taylor (Ind.) *","A","7","6","W"
"19","4/13/2019","Taylor (Ind.) *","A","4","13","L"
"20","4/16/2019","Huntington (Ind.) *","A","8","2","W"
"21","4/16/2019","Huntington (Ind.) *","A","0","5","L"
"22","4/22/2019","Grace (Ind.) *","A","9","0","W"
"23","4/22/2019","Grace (Ind.) *","A","6","4","W"
"24","4/23/2019","Grace (Ind.) *","A","10","3","W"
"25","4/26/2019","Spring Arbor (Mich.) *","H","3","0","W"
"26","4/27/2019","Spring Arbor (Mich.) *","H","1","2","L"
"27","4/27/2019","Spring Arbor (Mich.) *","H","6","3","W"
