"","Date","Opponent","Location","Score","Decision"
"1","3/1/2019","Spring Arbor (Mich.) *","N","5-3","W"
"2","3/1/2019","Spring Arbor (Mich.) *","N","12-1","W"
"3","3/4/2019","Spring Arbor (Mich.) *","N","1-11","L"
"4","3/23/2019","Taylor (Ind.) *","H","7-1","W"
"5","3/23/2019","Taylor (Ind.) *","H","5-2","W"
"6","3/25/2019","Indiana Wesleyan *","A","11-3","W"
"7","3/26/2019","Indiana Wesleyan *","A","1-9","L"
"8","3/26/2019","Indiana Wesleyan *","A","10-6","W"
"9","4/2/2019","Marian (Ind.) *","H","4-6","L"
"10","4/5/2019","Huntington (Ind.) *","A","3-4","L"
"11","4/6/2019","Huntington (Ind.) *","A","2-7","L"
"12","4/6/2019","Huntington (Ind.) *","A","1-2","L"
"13","4/9/2019","St. Francis (Ind.) *","A","9-4","W"
"14","4/10/2019","Marian (Ind.) *","H","2-1","W"
"15","4/10/2019","Marian (Ind.) *","H","12-2","W"
"16","4/12/2019","Grace (Ind.) *","H","10-0","W"
"17","4/13/2019","Grace (Ind.) *","H","12-5","W"
"18","4/13/2019","Grace (Ind.) *","H","10-5","W"
"19","4/16/2019","St. Francis (Ind.) *","A","6-3","W"
"20","4/16/2019","St. Francis (Ind.) *","A","17-12","W"
"21","4/19/2019","Goshen (Ind.) *","A","4-0","W"
"22","4/22/2019","Goshen (Ind.) *","A","1-6","L"
"23","4/22/2019","Goshen (Ind.) *","A","6-7","L"
"24","4/23/2019","Taylor (Ind.) *","A","8-1","W"
"25","4/26/2019","Bethel (Ind.) *","A","14-11","W"
"26","4/26/2019","Bethel (Ind.) *","A","10-3","W"
"27","4/27/2019","Bethel (Ind.) *","A","13-2","W"
