"","Date","Opponent","Location","Score","Decision"
"1","3/8/2019","Goshen (Ind.) *","H","10-2","W"
"2","3/9/2019","Goshen (Ind.) *","A","2-4","L"
"3","3/9/2019","Goshen (Ind.) *","A","8-10","L"
"4","3/16/2019","Marian (Ind.) *","A","14-3","W"
"5","3/23/2019","Indiana Wesleyan *","H","5-9","L"
"6","3/23/2019","Indiana Wesleyan *","H","6-3","W"
"7","3/26/2019","Marian (Ind.) *","A","4-6","L"
"8","3/26/2019","Marian (Ind.) *","A","6-12","L"
"9","3/28/2019","Bethel (Ind.) *","A","10-6","W"
"10","4/2/2019","Bethel (Ind.) *","A","0-4","L"
"11","4/2/2019","Bethel (Ind.) *","A","7-5","W"
"12","4/3/2019","Indiana Wesleyan *","H","7-3","W"
"13","4/5/2019","Grace (Ind.) *","H","13-17","L"
"14","4/6/2019","Grace (Ind.) *","H","8-9","L"
"15","4/6/2019","Grace (Ind.) *","H","7-15","L"
"16","4/9/2019","Mount Vernon Nazarene (Ohio) *","H","4-9","L"
"17","4/12/2019","Spring Arbor (Mich.) *","H","8-12","L"
"18","4/13/2019","Spring Arbor (Mich.) *","H","5-8","L"
"19","4/13/2019","Spring Arbor (Mich.) *","H","7-1","W"
"20","4/16/2019","Mount Vernon Nazarene (Ohio) *","H","3-6","L"
"21","4/16/2019","Mount Vernon Nazarene (Ohio) *","H","12-17","L"
"22","4/19/2019","Huntington (Ind.) *","A","0-11","L"
"23","4/19/2019","Huntington (Ind.) *","A","2-4","L"
"24","4/22/2019","Huntington (Ind.) *","A","5-6","L"
"25","4/26/2019","Taylor (Ind.) *","A","2-10","L"
"26","4/26/2019","Taylor (Ind.) *","A","2-3(11)","L"
"27","4/27/2019","Taylor (Ind.) *","H","1-5","L"
