"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/8/2019","Huntington (Ind.) *","H","6","7","L","TAYL"
"2","3/11/2019","Huntington (Ind.) *","H","0","2","L","TAYL"
"3","3/11/2019","Huntington (Ind.) *","H","5","1","W","TAYL"
"4","3/14/2019","Grace (Ind.) *","H","15","5","W","TAYL"
"5","3/16/2019","Grace (Ind.) *","H","10","2","W","TAYL"
"6","3/16/2019","Grace (Ind.) *","H","9","3","W","TAYL"
"7","3/23/2019","Mount Vernon Nazarene (Ohio) *","A","1","7","L","TAYL"
"8","3/23/2019","Mount Vernon Nazarene (Ohio) *","A","2","5","L","TAYL"
"9","3/28/2019","Goshen (Ind.) *","H","2","3","L","TAYL"
"10","4/2/2019","Goshen (Ind.) *","A","2","3","L","TAYL"
"11","4/2/2019","Goshen (Ind.) *","A","7","8","L","TAYL"
"12","4/5/2019","Spring Arbor (Mich.) *","H","4","2","W","TAYL"
"13","4/6/2019","Spring Arbor (Mich.) *","H","16","4","W","TAYL"
"14","4/6/2019","Spring Arbor (Mich.) *","H","3","6","L","TAYL"
"15","4/9/2019","Bethel (Ind.) *","A","5","3","W","TAYL"
"16","4/12/2019","Marian (Ind.) *","H","13","9","W","TAYL"
"17","4/13/2019","Marian (Ind.) *","H","6","7","L","TAYL"
"18","4/13/2019","Marian (Ind.) *","H","13","4","W","TAYL"
"19","4/16/2019","Bethel (Ind.) *","A","3","2","W","TAYL"
"20","4/16/2019","Bethel (Ind.) *","A","10","5","W","TAYL"
"21","4/19/2019","Indiana Wesleyan *","H","4","6(10)","L","TAYL"
"22","4/22/2019","Indiana Wesleyan *","H","6","5","W","TAYL"
"23","4/22/2019","Indiana Wesleyan *","H","1","14","L","TAYL"
"24","4/23/2019","Mount Vernon Nazarene (Ohio) *","H","1","8","L","TAYL"
"25","4/26/2019","St. Francis (Ind.) *","H","10","2","W","TAYL"
"26","4/26/2019","St. Francis (Ind.) *","H","3","2(11)","W","TAYL"
"27","4/27/2019","St. Francis (Ind.) *","A","5","1","W","TAYL"
