"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/8/2019","Grace (Ind.) *","N","6","13","L","BC"
"2","3/9/2019","Grace (Ind.) *","N","2","14","L","BC"
"3","3/9/2019","Grace (Ind.) *","N","1","3","L","BC"
"4","3/18/2019","Goshen (Ind.) *","A","3","0","W","BC"
"5","3/19/2019","Goshen (Ind.) *","A","9","6","W","BC"
"6","3/19/2019","Goshen (Ind.) *","A","10","7","W","BC"
"7","3/23/2019","Huntington (Ind.) *","H","2","3","L","BC"
"8","3/23/2019","Huntington (Ind.) *","H","4","1","W","BC"
"9","3/25/2019","Huntington (Ind.) *","H","3","7","L","BC"
"10","3/28/2019","St. Francis (Ind.) *","H","6","10","L","BC"
"11","4/2/2019","St. Francis (Ind.) *","H","4","0","W","BC"
"12","4/2/2019","St. Francis (Ind.) *","H","5","7","L","BC"
"13","4/5/2019","Marian (Ind.) *","A","5","6","L","BC"
"14","4/6/2019","Marian (Ind.) *","A","1","5","L","BC"
"15","4/6/2019","Marian (Ind.) *","A","1","6","L","BC"
"16","4/9/2019","Taylor (Ind.) *","H","3","5","L","BC"
"17","4/12/2019","Indiana Wesleyan *","A","5","15","L","BC"
"18","4/13/2019","Indiana Wesleyan *","A","2","10","L","BC"
"19","4/13/2019","Indiana Wesleyan *","A","7","10","L","BC"
"20","4/16/2019","Taylor (Ind.) *","H","2","3","L","BC"
"21","4/16/2019","Taylor (Ind.) *","H","5","10","L","BC"
"22","4/22/2019","Spring Arbor (Mich.) *","A","1","10","L","BC"
"23","4/22/2019","Spring Arbor (Mich.) *","A","7","6","W","BC"
"24","4/23/2019","Spring Arbor (Mich.) *","A","5","1","W","BC"
"25","4/26/2019","Mount Vernon Nazarene (Ohio) *","H","11","14","L","BC"
"26","4/26/2019","Mount Vernon Nazarene (Ohio) *","H","3","10","L","BC"
"27","4/27/2019","Mount Vernon Nazarene (Ohio) *","H","2","13","L","BC"
