"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/5/2020","Taylor (Ind.) *","H","3","10","L","GOC"
"2","3/7/2020","Taylor (Ind.) *","H","4","3","W","GOC"
"3","3/7/2020","Taylor (Ind.) *","H","7","4","W","GOC"
"4","3/13/2020","Huntington (Ind.) *","H","3:00 PM",NA,"","GOC"
"5","3/14/2020","Huntington (Ind.) *","H","1:00 PM",NA,"","GOC"
"6","3/14/2020","Huntington (Ind.) *","H","3:30 PM",NA,"","GOC"
"7","3/20/2020","Grace (Ind.) *","A","3:00 PM",NA,"","GOC"
"8","3/21/2020","Grace (Ind.) *","A","1:00 PM",NA,"","GOC"
"9","3/21/2020","Grace (Ind.) *","A","3:30 PM",NA,"","GOC"
"10","3/27/2020","Indiana Wesleyan *","A","4:00 PM",NA,"","GOC"
"11","3/28/2020","Indiana Wesleyan *","A","1:00 PM",NA,"","GOC"
"12","3/28/2020","Indiana Wesleyan *","A","1:00 PM",NA,"","GOC"
"13","4/3/2020","Mount Vernon Nazarene (Ohio) *","H","4:00 PM",NA,"","GOC"
"14","4/4/2020","Mount Vernon Nazarene (Ohio) *","H","1:00 PM",NA,"","GOC"
"15","4/4/2020","Mount Vernon Nazarene (Ohio) *","H","4:00 PM",NA,"","GOC"
"16","4/7/2020","Marian (Ind.) *","H","3:00 PM",NA,"","GOC"
"17","4/10/2020","St. Francis (Ind.) *","A","2:00 PM",NA,"","GOC"
"18","4/11/2020","St. Francis (Ind.) *","A","1:00 PM",NA,"","GOC"
"19","4/11/2020","St. Francis (Ind.) *","A","3:00 PM",NA,"","GOC"
"20","4/14/2020","Marian (Ind.) *","H","1:00 PM",NA,"","GOC"
"21","4/14/2020","Marian (Ind.) *","H","3:30 PM",NA,"","GOC"
"22","4/17/2020","Spring Arbor (Mich.) *","A","3:00 PM",NA,"","GOC"
"23","4/18/2020","Spring Arbor (Mich.) *","A","1:00 PM",NA,"","GOC"
"24","4/18/2020","Spring Arbor (Mich.) *","A","3:30 PM",NA,"","GOC"
"25","4/24/2020","Bethel (Ind.) *","H","3:00 PM",NA,"","GOC"
"26","4/25/2020","Bethel (Ind.) *","H","1:00 PM",NA,"","GOC"
"27","4/25/2020","Bethel (Ind.) *","H","1:00 PM",NA,"","GOC"
