#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
4,"Stark, Ryan",0.355,1.199,47-23,152.0,44.0,54.0,12.0,1.0,16.0,44.0,116.0,0.763,19.0,6.0,27.0,0.0,0.436,4.0,2.0,4-5,View Bio
7,"Ayala, Jose",0.327,0.926,51-27,165.0,42.0,54.0,19.0,0.0,4.0,42.0,85.0,0.515,18.0,7.0,37.0,0.0,0.411,2.0,1.0,7-10,View Bio
11,"De Leon, Maximo",0.312,0.911,51-27,186.0,48.0,58.0,13.0,2.0,5.0,35.0,90.0,0.484,28.0,10.0,38.0,2.0,0.427,1.0,1.0,18-25,View Bio
23,"Cosme, Josh",0.296,0.913,42-21,115.0,15.0,34.0,9.0,1.0,3.0,30.0,54.0,0.47,24.0,8.0,25.0,0.0,0.443,2.0,5.0,1-1,View Bio
1,"Cody, Dalton",0.29,0.818,47-24,138.0,31.0,40.0,12.0,0.0,4.0,26.0,64.0,0.464,13.0,3.0,19.0,0.0,0.354,4.0,10.0,7-10,View Bio
22,"Hartley, Grant",0.28,0.885,46-17,118.0,22.0,33.0,5.0,0.0,6.0,31.0,56.0,0.475,22.0,4.0,38.0,1.0,0.41,0.0,1.0,1-1,View Bio
8,"LeBlanc, Keenan",0.28,0.835,41-13,75.0,25.0,21.0,7.0,0.0,2.0,13.0,34.0,0.453,12.0,1.0,23.0,1.0,0.382,1.0,3.0,7-11,View Bio
9,"Stogsdill, Carter",0.235,0.608,41-11,68.0,27.0,16.0,1.0,0.0,0.0,6.0,17.0,0.25,10.0,3.0,18.0,0.0,0.358,0.0,3.0,17-18,View Bio
15,"Rojek, Grant",1.0,2.0,4-0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1-1,View Bio
6,"Calloway, Cayden",0.5,1.0,3-0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0-0,View Bio
12,"Bellerjeau, Steen",0.357,0.831,21-3,14.0,1.0,5.0,0.0,0.0,0.0,3.0,5.0,0.357,3.0,1.0,3.0,1.0,0.474,1.0,0.0,0-0,View Bio
27,"Joyce, John",0.311,1.026,20-7,45.0,11.0,14.0,3.0,1.0,3.0,17.0,28.0,0.622,7.0,2.0,17.0,0.0,0.404,3.0,0.0,0-1,View Bio
28,"Rudolph, Alex",0.276,0.796,24-2,29.0,4.0,8.0,3.0,0.0,0.0,7.0,11.0,0.379,5.0,2.0,12.0,0.0,0.417,0.0,0.0,0-0,View Bio
26,"McIntosh, Bradyn",0.25,0.799,16-4,32.0,12.0,8.0,3.0,0.0,0.0,6.0,11.0,0.344,8.0,4.0,7.0,1.0,0.455,0.0,1.0,3-4,View Bio
13,"Gannon, Sean",0.242,0.702,30-9,66.0,3.0,16.0,4.0,0.0,1.0,10.0,23.0,0.348,9.0,3.0,7.0,1.0,0.354,1.0,0.0,1-2,View Bio
16,"Pettit, Annikan",0.239,0.778,17-7,46.0,10.0,11.0,1.0,0.0,3.0,7.0,21.0,0.457,2.0,4.0,11.0,0.0,0.321,1.0,0.0,0-0,View Bio
18,"Friesema, Matt",0.237,0.749,30-16,93.0,29.0,22.0,5.0,1.0,2.0,19.0,35.0,0.376,15.0,7.0,14.0,2.0,0.373,3.0,3.0,6-8,View Bio
10,"Maldonado, Gabriel",0.219,0.683,30-12,64.0,11.0,14.0,0.0,0.0,3.0,11.0,23.0,0.359,9.0,1.0,22.0,1.0,0.324,0.0,3.0,3-4,View Bio
19,"Wire, Mason",0.206,0.619,37-14,68.0,14.0,14.0,3.0,0.0,1.0,6.0,20.0,0.294,9.0,3.0,37.0,1.0,0.325,0.0,1.0,2-2,View Bio
29,"Rebman, Tyler",0.2,0.8,15-3,10.0,4.0,2.0,1.0,0.0,0.0,2.0,3.0,0.3,5.0,1.0,0.0,0.0,0.5,0.0,2.0,1-1,View Bio
25,"Hickman, Addison",0.0,0.375,5-3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.375,0.0,0.0,1-2,View Bio
20,"Springer, Joey",0.0,0.0,7-0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0-0,View Bio
21,"Etchison, Evan",0.0,0.0,12-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,View Bio
33,"Reinartz, Kyle",0.0,0.0,12-5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0-0,View Bio
45,"McSherry, Aiden",0.0,0.0,11-0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0-0,View Bio
